日期2,收盘,开盘,高,低,交易量,涨跌幅,日期
2023/1/11,209740,206000,213980,205440,0.66K,0.0243,20230111
2023/1/10,204770,206350,206960,202250,0.45K,-0.0042,20230110
2023/1/9,205630,204500,206930,203240,0.43K,0.0052,20230109
2023/1/6,204570,208800,209410,201010,0.62K,-0.0112,20230106
2023/1/5,206880,207480,208900,204640,0.48K,-0.0126,20230105
2023/1/4,209510,208390,213680,207200,0.84K,0.0088,20230104
2023/1/3,207690,211050,211050,204720,0.85K,-0.005,20230103
2022/12/30,208740,206380,216170,206380,4.61K,0.0088,20221230
2022/12/29,206910,208460,208720,205080,5.44K,-0.0027,20221229
2022/12/28,207470,204950,210270,204670,10.65K,0.0441,20221228
2022/12/27,198710,197920,205200,194600,19.47K,0.0067,20221227
2022/12/26,197390,196560,200490,196000,31.90K,0.0075,20221226
2022/12/23,195920,193400,198350,193000,49.23K,-0.0008,20221223
2022/12/22,196080,195370,198380,194140,51.46K,0.008,20221222
2022/12/21,194520,191630,196640,191630,64.91K,0.0149,20221221
2022/12/20,191670,189800,193950,188330,89.87K,0.0006,20221220
2022/12/19,191550,190500,195460,187440,92.33K,-0.0034,20221219
2022/12/16,192210,193500,196390,188700,87.12K,-0.0064,20221216
2022/12/15,193440,194500,194500,191270,0.61K,-0.012,20221215
2022/12/14,195780,194850,198000,193510,0.32K,0.0128,20221214
2022/12/13,193310,192240,195070,185030,0.30K,0.006,20221213
2022/12/12,192150,198060,198060,188120,0.81K,-0.0253,20221212
2022/12/9,197130,195790,198500,194500,0.75K,0.0092,20221209
2022/12/8,195330,193400,197290,193210,0.91K,-0.0068,20221208
2022/12/7,196670,194460,200290,192390,1.32K,0.0095,20221207
2022/12/6,194810,194630,196420,193000,0.60K,0.0164,20221206
2022/12/5,191660,186520,195400,183920,1.67K,0.0247,20221205
2022/12/2,187040,186600,188420,184690,1.12K,0.0025,20221202
2022/12/1,186570,185150,189010,184310,1.68K,0.0088,20221201
2022/11/30,184950,184000,187200,183200,8.39K,0.0006,20221130
2022/11/29,184840,183900,186480,182330,22.99K,0.0175,20221129
2022/11/28,181660,182960,184270,179700,42.86K,-0.0149,20221128
2022/11/25,184410,183150,186140,182720,51.98K,0.0114,20221125
2022/11/24,182330,181000,185670,178340,68.16K,-0.0009,20221124
2022/11/23,182500,179630,184300,179630,84.64K,0.024,20221123
2022/11/22,178230,177360,179940,176000,68.87K,-0.0137,20221122
2022/11/21,180700,182160,184530,176160,99.87K,-0.0122,20221121
2022/11/18,182930,184960,186080,180350,110.79K,-0.0114,20221118
2022/11/17,185040,189800,189950,181890,118.54K,-0.0146,20221117
2022/11/16,187780,188800,189800,185400,124.75K,0.0245,20221116
2022/11/15,183290,179980,193000,177750,0.39K,0.0358,20221115
2022/11/14,176950,179880,179880,175500,0.15K,0.0048,20221114
2022/11/11,176110,170000,183600,170000,0.88K,0.0424,20221111
2022/11/10,168950,169160,170620,168120,0.29K,-0.0138,20221110
2022/11/9,171320,170790,172380,170250,0.88K,0.0125,20221109
2022/11/8,169200,169460,171000,168470,0.84K,0.0046,20221108
2022/11/7,168430,163500,170000,163500,0.62K,0.0428,20221107
2022/11/4,161520,160640,164000,160000,0.56K,-0.0031,20221104
2022/11/3,162020,163320,164300,160120,0.48K,-0.0165,20221103
2022/11/2,164730,163190,166200,163040,0.58K,0.0165,20221102
2022/11/1,162060,161120,163710,159050,0.77K,-0.0083,20221101
